t,side,score,ts_4h,ts_1d,fwd_1d,absraw_1d,fwd_3d,absraw_3d,fwd_7d,absraw_7d,fwd_14d,absraw_14d
1641600000000,short,-70.0,2.569658417950689,1.0826634285402648,0.005049783240436378,-0.005049783240436378,0.009301605449954743,-0.009301605449954743,-0.02617788576056405,0.02617788576056405,0.131544471440141,-0.131544471440141
1641614400000,short,-66.66666666666666,2.6767991545372367,1.0826634285402648,-0.003949833534206036,0.003949833534206036,-0.009546425460316702,0.009546425460316702,-0.024689442846744073,0.024689442846744073,0.13473586234054485,-0.13473586234054485
1641643200000,short,-56.666666666666664,2.8344352373464536,1.0826634285402648,0.003568019093078759,-0.003568019093078759,0.001992840095465394,-0.001992840095465394,-0.019009546539379474,0.019009546539379474,0.14684964200477327,-0.14684964200477327
1641657600000,short,-65.0,2.6949710035963412,1.0826634285402648,-0.018597789547510218,0.018597789547510218,-0.031971752642143705,0.031971752642143705,-0.047498125710416214,0.047498125710416214,0.15173281095068805,-0.15173281095068805
1641729600000,short,-60.0,2.0412897795395653,1.2375878145848374,0.01874229051149088,-0.01874229051149088,-0.035760050777835,0.035760050777835,-0.0305864600423947,0.0305864600423947,0.14282463683069663,-0.14282463683069663
1641801600000,short,-60.0,1.2055381362263644,1.31214607865233,-0.003803372802296376,0.003803372802296376,-0.04940796555435953,0.04940796555435953,-0.023478052864489892,0.023478052864489892,0.1637363951680421,-0.1637363951680421
1641816000000,short,-75.0,1.0200226204745737,1.31214607865233,-0.02071128685803554,0.02071128685803554,-0.06884641671548526,0.06884641671548526,-0.03893282561999609,0.03893282561999609,0.19265036125756688,-0.19265036125756688
1642521600000,short,-75.0,1.0787170736430118,1.5830186303942304,-0.005277298023412013,0.005277298023412013,0.07127950489349454,-0.07127950489349454,0.11740788716177317,-0.11740788716177317,0.062188159662252926,-0.062188159662252926
1642550400000,short,-61.66666666666667,1.0360750638401157,1.5233512308169246,0.00998828388501639,-0.00998828388501639,0.1370430419294903,-0.1370430419294903,0.1334572006769311,-0.1334572006769311,0.08782352453875193,-0.08782352453875193
1642752000000,short,-74.16666666666667,1.0381558158827175,1.419733163771544,0.09114367103968933,-0.09114367103968933,0.10683034630762746,-0.10683034630762746,0.06365366682421471,-0.06365366682421471,0.031283931377182786,-0.031283931377182786
1642766400000,short,-75.0,1.1646310117490388,1.419733163771544,0.06320920359548206,-0.06320920359548206,0.1332188998663487,-0.1332188998663487,0.04928064152624545,-0.04928064152624545,0.005857071726198275,-0.005857071726198275
1642780800000,short,-74.16666666666667,1.4040594593898996,1.419733163771544,0.09405550605039195,-0.09405550605039195,0.11232936861544819,-0.11232936861544819,0.04242377281004223,-0.04242377281004223,-0.039233918355223225,0.039233918355223225
1642795200000,short,-75.0,1.548631896788463,1.419733163771544,0.07982579669326657,-0.07982579669326657,0.02974234600740625,-0.02974234600740625,0.016233766233766232,-0.016233766233766232,-0.05751577739529547,0.05751577739529547
1642809600000,short,-75.0,1.9227733658131938,1.630128689043193,0.029525912313663107,-0.029525912313663107,0.011917332931060492,-0.011917332931060492,-0.03527201415268997,0.03527201415268997,-0.13734417641492616,0.13734417641492616
1642824000000,short,-75.0,2.4148744938756543,1.630128689043193,0.028961522548613984,-0.028961522548613984,0.008826368776720453,-0.008826368776720453,-0.042545855744035306,0.042545855744035306,-0.14244931733553992,0.14244931733553992
1642838400000,short,-75.0,2.746393754343949,1.630128689043193,-0.006774610670714567,0.006774610670714567,-0.013394614043964694,0.013394614043964694,-0.06125260021363917,0.06125260021363917,-0.1644599988755833,0.1644599988755833
